survey,station,latitude,longitude,collection_type,date,time_pst,tidal_stage,depth_m,lab,taxon_original,units_per_ml,cells_per_ml,biovolume_cubic_um_per_ml,gald_um,quality_check,debris
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-07-29,05:48:00,variable,0,BSA,Eucapsis microscopica,95141,190282,34250.8,0.8,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-29,06:09:00,variable,0,BSA,Chaetoceros sp.,368,368,85546.1,18.5,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-29,06:09:00,variable,0,BSA,Entomoneis paludosa,122.7,122.7,429412.7,40.7,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-29,06:09:00,variable,0,BSA,Nitzschia acicularis,122.7,122.7,44524,92.6,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-29,06:09:00,variable,0,BSA,Chroococcus sp.,245.3,245.3,6506.3,3.7,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-29,06:09:00,variable,0,BSA,Eucapsis microscopica,48327.4,96654.9,17397.9,0.8,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-07-29,06:38:00,variable,0,BSA,Actinocyclus sp.,191.7,191.7,1066653,28,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-07-29,06:38:00,variable,0,BSA,Cocconeis placentula,383.3,383.3,263618,23,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-07-29,06:38:00,variable,0,BSA,cf. Cyclotella sp.,1629.1,1629.1,350315.6,8.3,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-07-29,06:38:00,variable,0,BSA,Nitzschia liebetruthii,191.7,191.7,25652.5,18.5,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-07-29,06:38:00,variable,0,BSA,cf. Thalassiosira sp.,191.7,191.7,14912.8,5.6,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-07-29,06:38:00,variable,0,BSA,Chroococcus sp.,95.8,95.8,10837.8,6,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-07-29,06:38:00,variable,0,BSA,Eucapsis microscopica,35935.1,71870.2,12936.6,0.8,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-29,07:06:00,variable,0,BSA,Nitzschia acicularis,153.3,153.3,24409,79.6,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-29,07:06:00,variable,0,BSA,cf. Thalassiosira sp.,306.6,306.6,25004.6,5.6,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-29,07:06:00,variable,0,BSA,Eucapsis microscopica,61482.6,122965.1,22133.7,0.8,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-29,07:06:00,variable,0,BSA,Trachelomonas volvocina,153.3,153.3,176374.5,13,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-07-29,07:27:00,variable,0,BSA,cf. Cyclotella sp.,657.1,657.1,1597630,21.3,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-07-29,07:27:00,variable,0,BSA,Navigeia decussis,328.5,328.5,256638.2,24,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-07-29,07:27:00,variable,0,BSA,Eucapsis microscopica,135362.4,270724.8,48730.5,0.8,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-29,08:29:00,variable,0,BSA,Cyclotella sp.,153.3,153.3,177052.9,13,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-29,08:29:00,variable,0,BSA,Plagioselmis nannoplanctica,153.3,153.3,82592,11.1,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-29,08:29:00,variable,0,BSA,Eucapsis microscopica,61482.6,122965.1,22133.7,0.8,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-29,09:33:00,variable,0,BSA,cf. Cyclotella sp.,605.2,605.2,445106.8,18.5,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-29,09:33:00,variable,0,BSA,cf. Thalassiosira sp.,484.2,484.2,19261.9,3.7,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-29,09:33:00,variable,0,BSA,Tryblionella cf. compressa,121,121,98138.8,22.2,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-29,09:33:00,variable,0,BSA,cf. Vitreochalmys sp.,121,121,469945.3,19.5,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-29,09:33:00,variable,0,BSA,Eucapsis microscopica,47812.6,95625.2,17212.5,0.8,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-29,09:33:00,variable,0,BSA,Peridinium sp.,121,121,400496.7,20.4,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-12,06:13:00,variable,0,BSA,Actinocyclus sp.,153.3,153.3,846284.8,27.8,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-12,06:13:00,variable,0,BSA,Cocconeis placentula,76.7,76.7,28053.5,16.7,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-12,06:13:00,variable,0,BSA,Cyclotella meneghiniana,76.7,76.7,32286.8,9.3,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-12,06:13:00,variable,0,BSA,Gyrosigma sp.,153.3,153.3,510249.9,146.3,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-12,06:13:00,variable,0,BSA,Nitzschia acicularis,76.7,76.7,26839.2,77.8,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-12,06:13:00,variable,0,BSA,cf. Rhizosolenia sp.,153.3,153.3,1007319.8,96.3,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-12,06:13:00,variable,0,BSA,Scenedesmus sp.,76.7,153.3,2023,6.3,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-12,06:13:00,variable,0,BSA,Plagioselmis nannoplanctica,76.7,76.7,23954.7,9.3,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-12,06:13:00,variable,0,BSA,Aphanizomenon sp.,76.7,2453.2,118695.2,4.5,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-12,06:13:00,variable,0,BSA,Eucapsis microscopica,29898,59796,10763.3,0.8,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-08-12,07:05:00,variable,0,BSA,Chaetoceros sp.,681.4,681.4,80921.9,13,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-08-12,07:05:00,variable,0,BSA,Gyrosigma sp.,340.7,340.7,1096579,146.3,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-08-12,07:05:00,variable,0,BSA,cf. Rhizosolenia sp.,170.4,170.4,902048.5,64.8,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-08-12,07:05:00,variable,0,BSA,cf. Thalassiosira sp.,170.4,170.4,2937.2,2.8,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-08-12,07:05:00,variable,0,BSA,Eucapsis microscopica,68654.7,137309.3,24715.7,0.8,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-08-12,07:21:00,variable,0,BSA,Cyclotella meneghiniana,164.3,164.3,35325.9,7.4,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-08-12,07:21:00,variable,0,BSA,cf. Diploneis sp.,164.3,164.3,148368.9,18.5,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-08-12,07:21:00,variable,0,BSA,Chlorella sp.,164.3,164.3,34854.9,7.4,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-08-12,07:21:00,variable,0,BSA,Eucapsis microscopica,67024.1,134048.2,24128.7,0.8,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-08-12,08:57:00,variable,0,BSA,cf. Cyclotella sp.,153.3,153.3,884278.9,22.2,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-08-12,08:57:00,variable,0,BSA,cf. Neidium sp.,153.3,153.3,1529724,40.7,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-08-12,08:57:00,variable,0,BSA,Rhizosolenia sp.,153.3,153.3,650226.6,51.9,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-08-12,08:57:00,variable,0,BSA,Surirella brebissonii,153.3,153.3,1428243.5,38,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-08-12,08:57:00,variable,0,BSA,Eucapsis microscopica,63475.8,126951.5,22851.3,0.8,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-08-12,08:57:00,variable,0,BSA,cf. Peridinium sp.,153.3,153.3,267492,17,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-14,05:22:00,variable,0,BSA,Cocconeis placentula,230,230,296737.9,22.2,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-14,05:22:00,variable,0,BSA,Cyclotella sp.,690,690,154303.7,7.4,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-14,05:22:00,variable,0,BSA,Entomoneis sp.,230,230,351053.1,23,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-14,05:22:00,variable,0,BSA,cf. Thalassiosira sp.,230,230,8412.8,4.5,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-14,05:22:00,variable,0,BSA,Chroococcus sp.,690,690,24898.3,4.5,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-14,05:22:00,variable,0,BSA,Eucapsis microscopica,96823.5,193647.1,34856.5,0.8,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-08-24,12:41:00,variable,0,BSA,Cyclotella sp.,431.2,143.7,73026.9,13,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-08-24,12:41:00,variable,0,BSA,Nitzschia alpina,143.7,143.7,9409.8,16.7,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-08-24,12:41:00,variable,0,BSA,Chroococcus sp.,5030.9,5462.1,243623.2,5.6,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-08-24,12:41:00,variable,0,BSA,Eucapsis microscopica,53615.2,107230.3,19301.5,0.8,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-08-24,12:41:00,variable,0,BSA,Peridinium sp.,143.7,143.7,571838.7,22.2,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-26,05:31:00,variable,0,BSA,Actinocyclus sp.,153.3,153.3,4069265.7,40.7,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-26,05:31:00,variable,0,BSA,Cyclotella sp.,306.6,306.6,198530.4,13,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-26,05:31:00,variable,0,BSA,Hantzschia sp.,153.3,153.3,57183.4,22.2,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-26,05:31:00,variable,0,BSA,Nitzschia amphibia,153.3,153.3,49043.8,20.4,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-26,05:31:00,variable,0,BSA,Nitzschia incognita,766.6,766.6,44310.4,29.6,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-26,05:31:00,variable,0,BSA,Chroococcus sp.,613.3,613.3,19048.4,4.5,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-08-26,05:31:00,variable,0,BSA,Eucapsis microscopica,66848.9,133697.7,24065.6,0.8,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-26,06:25:00,variable,0,BSA,Cyclotella sp.,85.2,85.2,381421.8,20.4,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-26,06:25:00,variable,0,BSA,Gyrosigma sp.,85.2,85.2,250515.4,148.2,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-26,06:25:00,variable,0,BSA,Pinnularia cf. moelderi,85.2,85.2,5103256,183.3,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-26,06:25:00,variable,0,BSA,cf. Rhizosolenia sp.,85.2,85.2,250945,68.5,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-26,06:25:00,variable,0,BSA,Synedra sp.,85.2,85.2,291408.9,138.9,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-08-26,06:25:00,variable,0,BSA,Eucapsis microscopica,34071.8,68143.6,12265.8,0.8,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-08-26,06:26:00,variable,0,BSA,Cyclotella sp.,65.7,65.7,113043,14.8,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-08-26,06:26:00,variable,0,BSA,Navicula sp.,65.7,65.7,56139.6,22.2,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-08-26,06:26:00,variable,0,BSA,Nitzschia amphibia,131.4,131.4,19610.6,22.2,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-08-26,06:26:00,variable,0,BSA,Nitzschia sociabilis,65.7,65.7,12504,27.8,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-08-26,06:26:00,variable,0,BSA,Nitzschia sp.,131.4,131.4,12837.3,19,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-08-26,06:26:00,variable,0,BSA,cf. Thalassiosira sp.,131.4,131.4,25809,6.3,Good,NA
SMSCG,STN_706,38.09005982,-121.7390041,grab_surface,2020-08-26,06:26:00,variable,0,BSA,Eucapsis microscopica,26284,52567.9,9462.2,0.8,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-08-26,06:36:00,variable,0,BSA,Cocconeis placentula,176.9,176.9,78657.1,18.5,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-08-26,06:36:00,variable,0,BSA,cf. Thalassiosira sp.,176.9,176.9,8440.9,4.5,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-08-26,06:36:00,variable,0,BSA,Eucapsis microscopica,75364.2,150728.4,27131.1,0.8,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-08-26,06:55:00,variable,0,BSA,cf. Cyclotella sp.,176.9,176.9,120049,12,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-08-26,06:55:00,variable,0,BSA,Skeletonema ardens,530.7,530.7,1168309,14.8,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-08-26,06:55:00,variable,0,BSA,Synedra sp.,176.9,176.9,633093.6,114.8,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-08-26,06:55:00,variable,0,BSA,Dictyochloris fragrans,176.9,176.9,126684.3,11.1,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-08-26,06:55:00,variable,0,BSA,Eucapsis microscopica,70056.9,140113.7,25220.5,0.8,Good,NA
SMSCG,EMP_NZS42,38.18055556,-122.0472222,grab_surface,2020-08-26,09:11:00,variable,0,BSA,Cocconeis placentula,65.7,65.7,29215.5,18.5,Good,NA
SMSCG,EMP_NZS42,38.18055556,-122.0472222,grab_surface,2020-08-26,09:11:00,variable,0,BSA,Cyclotella sp.,65.7,65.7,39733.1,10.2,Good,NA
SMSCG,EMP_NZS42,38.18055556,-122.0472222,grab_surface,2020-08-26,09:11:00,variable,0,BSA,cf. Rhizosolenia sp.,131.4,131.4,234997.3,73,Good,NA
SMSCG,EMP_NZS42,38.18055556,-122.0472222,grab_surface,2020-08-26,09:11:00,variable,0,BSA,Eucapsis microscopica,26218.2,52436.5,9438.6,0.8,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-08-26,09:32:00,variable,0,BSA,cf. Rhizosolenia sp.,127.8,127.8,486681.3,70.4,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-08-26,09:32:00,variable,0,BSA,Eucapsis microscopica,52640.9,105281.9,18950.7,0.8,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-09-10,08:35:00,variable,0,BSA,Actinocyclus sp.,18.4,18.4,283978.2,34,BadData,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-09-10,08:35:00,variable,0,BSA,Bacillaria cf. paxillifera,36.8,36.8,151697.1,120.4,BadData,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-09-10,08:35:00,variable,0,BSA,Cyclotella meneghiniana,18.4,18.4,21246.3,13,BadData,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-09-10,08:35:00,variable,0,BSA,cf. Cyclotella sp.,18.4,18.4,9681.7,10,BadData,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-09-10,08:35:00,variable,0,BSA,Gyrosigma sp.,73.6,73.6,219199.4,141.7,BadData,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-09-10,08:35:00,variable,0,BSA,Melosira sp.,18.4,18.4,46845,14.8,BadData,NA
